label,pattern
greeting,hi
greeting,hei
greeting,halo
greeting,selamat pagi
greeting,selamat siang
greeting,selamat sore
greeting,halo min mau tanya
greeting,min mau top up sudah buka belum
greeting,udah bisa topup min?
greeting,halo kak
greeting,"kak, mau topup"
greeting,"min, mau topup ready kah?"
greeting,hai min
greeting,ini dengan adeptushop?
greeting,"permisi, ini benar dengan yang ig nya adeptushop?"
greeting,ini benar kontaknya adeptushop?
greeting,apa benar ini adeptushop?
greeting,yang adeptushop bukan?
greeting,ini yang toko topup bukan?
greeting,ini dengan adeptushop ya?
order,ini cara ordernya gimana min
order,lewat uid atau apa ya?
order,lewat id atau apa ya?
order,pake id min??
order,via login apa uid bang?
order,minta format ordernya min
order,cara belinya gimana ya?
order,jadinya yang itu deh
order,formatnya gimana
order,mau deh yang itu
order,boleh deh yang itu
order,"mau beli min, gimana formatnya"
payment,"min, tf nya kemana?"
payment,tf nya gimana ya bang
payment,bayarnya kemana ya?
payment,bayar kemana bang
payment,lewat apa bayarnya?
payment,bisa qris nggak?
payment,kemana tf nya?
payment,bisa pake mandiri?
payment,minta no tf nya
genshin.list,boleh pricelist untuk genshin?
genshin.list,minta list harga genshin dong kak
genshin.list,"minta listnya min, yang genshin"
genshin.list,pricelist nya genshin dong
genshin.list,list genshin min
genshin.list,genshin list
genshin.list,genshin
genshin.list,daftar harga genshin kak
genshin.list,boleh liat harga genshinnya kak?
genshin.list,daftar genshin
genshin.list,minta daftar harga genshin min
genshin.list,"pagi, mau cek daftar harga yg genshin"
genshin.list,cek pricelist genshin
genshin.list,cek daftar harga genshin
genshin.product.welkin,mau tanya harga blessing genshin
genshin.product.welkin,blessing
genshin.product.welkin,welkin
genshin.product.welkin,blessing dong kak
genshin.product.welkin,monthly genshin
genshin.product.welkin,welkin berapa ya
genshin.product.welkin,monthly genshin berapa ya
genshin.product.welkin,boleh tanya welkin berapa?
genshin.product.welkin,boleh tanya monthly genshin berapa?
genshin.product.welkin,mau top up welkin bisa?
genshin.product.welkin,mau top up monthly genshin min
genshin.product.welkin,"min, mau beli welkin"
genshin.product.welkin,min beli welkin bisa?
genshin.product.welkin,min beli monthly genshin
genshin.product.welkin,welkin berapaan sekarang?
genshin.product.welkin,monthly genshin berapaan sekarang?
